"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"341","4A",1029,10.49292983,"8L",88,1167,39122,38519.95,39264.15,51
"342","4A",1033,8.249177352,"8L",92,1171,39363,39231.95,39899.1,49.5
"343","4A",1037,9.948773254,"8L",96,1175,39541,39282,40368.55,41.5
"344","4A",1041,7.381974249,"9L",0,1179,39701,39322,40660.6,38.5
"345","4A",1045,9.936756351,"9L",4,1183,39875.5,39373,40940.05,51.5
"346","4A",1049,10.14224751,"9L",8,1187,40031,39423.85,41178,37.5
"347","4A",1053,10.00404476,"9L",12,1191,40184,39488.75,41473.1,33
"348","4A",1057,9.447300771,"9L",16,1195,40353.5,39539.8,41658.4,39.5
"349","4A",1061,9.506057782,"9L",20,1199,40506,39605.8,41871.1,48.5
"350","4A",1065,5.791807983,"9L",24,1203,40678.5,39656.65,42032.75,52
"351","4A",1069,8.726528647,"9L",28,1207,40834.5,39757.9,42224.15,45
"352","4A",1073,9.09330175,"9L",32,1211,41008,39829.6,42437.2,48.5
"353","4A",1077,7.594936709,"9L",36,1215,41231,39908.65,42752.1,50
"354","4A",1093,5.153445281,"9L",52,1231,42287,40637.95,44125.05,59.5
"355","4A",1097,2.87435581,"9L",56,1235,42432.5,40784.35,44324.2,34
"356","4A",1101,13.243762,"9L",60,1239,42586,40895.9,44529.5,34.5
"357","4A",1105,14.45936139,"9L",64,1243,42759,41014.35,44722.9,44.5
"358","4A",1109,16.75405743,"9L",68,1247,42925,41118.9,44967.15,27.5
"359","4A",1113,15.25867714,"9L",72,1251,43111,41226.3,45214.05,58.5
"360","4A",1117,11.55458922,"9L",76,1255,43278.5,41328.85,45455.45,43.5
"361","4A",1121,12.18811703,"9L",80,1259,43452.5,41484.8,45726.1,35
